Rk,Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
46,1977,Pac-8,8,4,0,0.667,5,2,0,0.714,16.95,9.95,4,1,13,John Robinson (8-4),Bluebonnet Bowl-W,
47,1976,Pac-8,11,1,0,0.917,7,0,0,1,21.01,7.84,8,2,2,John Robinson (11-1),Rose Bowl-W,
48,1975,Pac-8,8,4,0,0.667,3,4,0,0.429,13.5,6.08,5,3,17,John McKay (8-4),Liberty Bowl-W,
49,1974,Pac-8,10,1,1,0.875,6,0,1,0.929,20.9,6.32,5,2,2,John McKay (10-1-1),Rose Bowl-W,
50,1973,Pac-8,9,2,1,0.792,7,0,0,1,19.64,10.14,1,1,8,John McKay (9-2-1),Rose Bowl-L,
51,1972,Pac-8,12,0,0,1,7,0,0,1,30.33,9.08,8,1,1,John McKay (12-0),Rose Bowl-W,
52,1971,Pac-8,6,4,1,0.591,3,2,1,0.583,16.63,11.08,5,5,20,John McKay (6-4-1),,
53,1970,Pac-8,6,4,1,0.591,3,4,0,0.429,19.6,13.96,3,3,15,John McKay (6-4-1),,
54,1969,Pac-8,10,0,1,0.955,6,0,0,1,21.93,10.38,5,3,3,John McKay (10-0-1),Rose Bowl-W,
55,1968,Pac-8,9,1,1,0.864,6,0,0,1,16.62,7.8,2,1,4,John McKay (9-1-1),Rose Bowl-L,
56,1967,AAWU,10,1,0,0.909,6,1,0,0.857,20.33,6.88,7,1,1,John McKay (10-1),Rose Bowl-W,
57,1966,AAWU,7,4,0,0.636,4,1,0,0.8,15.55,8.64,9,5,,John McKay (7-4),Rose Bowl-L,
58,1965,AAWU,7,2,1,0.75,4,1,0,0.8,20.65,9.05,7,4,10,John McKay (7-2-1),,
59,1964,AAWU,7,3,0,0.7,3,1,0,0.75,17.84,10.14,,2,10,John McKay (7-3),,
60,1963,AAWU,7,3,0,0.7,3,1,0,0.75,15.77,7.67,1,1,,John McKay (7-3),,
61,1962,AAWU,11,0,0,1,4,0,0,1,23.29,8.66,,1,1,John McKay (11-0),Rose Bowl-W,
62,1961,AAWU,4,5,1,0.45,2,1,1,0.625,1.41,3.61,,,,John McKay (4-5-1),,
63,1960,AAWU,4,6,0,0.4,3,1,0,0.75,2.64,7.94,6,6,,John McKay (4-6),,
64,1959,AAWU,8,2,0,0.8,3,1,0,0.75,14.86,5.06,,4,14,Don Clark (8-2),,
65,1958,PCC,4,5,1,0.45,4,2,1,0.643,5.74,4.24,,,,Don Clark (4-5-1),,
66,1957,PCC,1,9,0,0.1,1,6,0,0.143,-3.07,8.63,19,19,,Don Clark (1-9),,
67,1956,PCC,8,2,0,0.8,5,2,0,0.714,14.67,5.47,15,6,18,Jess Hill (8-2),,
68,1955,PCC,6,4,0,0.6,3,3,0,0.5,17.38,8.78,13,9,13,Jess Hill (6-4),,
