,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,NFL,Los Angeles Chargers,2,2,0,2nd of 4,,92,108,-16,Staley,,Herbert,Ekeler,Williams,12,7,30,20,8,22,11,32,-4.0,-0.7,-4.7,-5.6,0.9
2021,NFL,Los Angeles Chargers,9,8,0,3rd of 4,,474,459,15,Staley,Herbert,Herbert,Ekeler,Williams,5,4,29,23,19,16,9,32,0.9,0.2,1.1,5.3,-4.2
2020,NFL,Los Angeles Chargers,7,9,0,3rd of 4,,384,426,-42,Lynn,Herbert,Herbert,Ekeler,Allen,18,9,23,10,13,20,9,32,-2.6,-0.3,-2.9,-1.0,-2.0
2019,NFL,Los Angeles Chargers,5,11,0,4th of 4,,337,345,-8,Lynn,Rivers,Rivers,Gordon,Allen,21,10,14,6,31,16,5,32,-0.5,-0.8,-1.3,-1.6,0.3
2018,NFL,Los Angeles Chargers*,12,4,0,2nd of 4,Lost Div,428,329,99,Lynn,Rivers,Rivers,Gordon,Allen,6,11,8,9,15,7,6,32,6.2,-0.2,6.0,3.0,2.9
2017,NFL,Los Angeles Chargers,9,7,0,2nd of 4,,355,272,83,Lynn,Rivers,Rivers,Gordon,Allen,13,4,3,15,3,9,6,32,5.2,-1.5,3.6,-0.3,4.0
2016,NFL,San Diego Chargers,5,11,0,4th of 4,,410,423,-13,McCoy,Rivers,Rivers,Gordon,Williams,9,14,29,16,26,22,13,32,-0.8,0.9,0.1,3.0,-3.0
